,Sales & Services Revenue ,Gross Profit ,"Selling, General & Admin ",Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP ",Diluted Weighted Avg Shares ,"Diluted EPS, GAAP ",EBITDA Margin (%) ,Profit Margin (%) ,Sales per Employee ,Depreciation Expense ,"Cash, Cash Equivalents & STI ",Cash & Cash Equivalents ,Accounts & Notes Receiv ,Total Current Assets ,"Property, Plant & Equip, Net ","Property, Plant & Equip ",Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Cash from Investing Activities ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
219,0.25,0.25,3.82,-5.29,-5.29,-2.55,-6.99,4.71,-7.76,5.57,-16.4,-2.79,-1.68,-16.19,0.01,-8.78,-14.21,-2.49,6.61,6.61,-5.66,4.97,3.38,10.73,11.76,5.02,2.79,3.06,3.83,-22.85,14.68,-45.68,-0.19,-0.19,3.38,-8.62,49.14,49.43,-4.25,-12.75,1.96,-2.55,-16.19,141.5,947.73,56.32,7.99,12.82,-93.64,-173.1,7.99,56.32,-15.87,60.4,0.1731212787095262
220,-6.26,-6.26,-2.17,-42.01,-42.01,-34.76,-6.79,-32.02,-6.84,-31.98,13.72,-30.41,-8.46,6.59,50.01,129.45,7.27,43.41,4.16,4.16,-0.75,8.89,15.84,-0.55,-3.75,9.17,21.09,19.63,17.4,-6.26,4.97,-75.03,3.06,3.06,15.84,-2.1,-208.67,-205.44,-10.52,49.0,2.4,-34.76,6.59,-4.45,-102.48,-38.5,7.99,120.35,10436.54,-1496.66,7.99,-38.5,29.77,-5.73,-0.2789186784541322
221,4.19,4.19,9.46,78.87,78.87,78.71,-2.97,91.17,-2.71,90.67,-1.16,71.52,6.7,2.98,5.32,-8.18,7.78,5.54,-1.52,-1.52,-2.85,14.69,12.42,10.49,11.78,6.54,14.97,14.03,13.87,-27.43,14.61,208.21,-1.05,-1.05,12.42,-6.62,-50.84,-50.32,-12.84,-5.59,-2.35,78.71,2.98,-106.18,12145.4,-118.93,7.99,76.34,-18.03,-113.34,7.99,-118.93,-862.33,-110.59,0.2271626071603376
222,6.55,6.55,1.99,-8.85,-8.85,-13.92,-4.47,-10.88,-4.57,-10.79,-2.19,-19.21,2.13,4.21,-29.99,-33.18,-7.38,-27.26,6.25,6.25,13.03,3.46,-3.76,11.42,12.01,-1.48,-6.0,-5.53,-4.22,-5.52,10.07,314.5,1.16,1.16,-3.76,-1.0,-227.1,-225.65,3.67,-35.06,4.33,-13.92,4.21,-1502.18,30.12,-12.04,7.99,-99.19,-136.36,298.47,7.99,-12.04,-19.34,2.18,-0.0438011076905692
223,3.82,3.82,3.85,-8.48,-8.48,-3.68,-1.05,-3.4,-1.07,-3.39,0.16,-7.23,5.77,3.99,32.69,43.78,19.35,30.66,3.0,3.0,7.71,-1.46,4.24,-7.4,-4.05,9.5,4.18,4.76,4.0,-4.39,8.54,-15.92,6.75,6.75,4.24,-1.27,-110.87,-110.19,5.9,36.18,-1.84,-3.68,3.99,-15.08,-105.25,-810.95,7.99,1299.25,-188.03,-189.59,7.99,-810.95,-114.27,-838.11,-0.1940454126356037
224,31.93,51.41,44.26,41.99,68.73,7.9,13.09,-4.69,2.96,4.68,24.43,-18.31,-22.0,28.76,107.74,77.58,36.88,91.36,30.34,24.21,16.44,16.91,58.43,77.58,15.27,1223.52,46.55,454.46,104.23,5.56,-115.2,996.3,37.2,40.67,58.43,7.82,-1971.23,-1430.26,-15.29,66.01,69.15,7.9,28.76,-270.55,-24.82,52.51,49.56,67.73,-226.04,-192.78,49.56,52.6,21.36,41.51,0.7015304199066226
225,41.19,61.34,50.97,-23.17,83.28,100.54,3.54,93.39,0.44,99.37,22.89,41.83,-3.99,6.66,59.89,76.29,62.81,56.67,61.86,31.91,-7.62,-4.71,36.64,10.45,134.69,-83.76,-13.33,-71.59,21.25,0.59,1395.79,166.3,41.96,45.3,36.64,1.33,-149.23,-133.88,18.47,-33.24,47.06,100.54,6.66,-2.53,66.64,72.63,107.29,7.57,-170.92,91.76,107.29,71.59,-31.86,-13.79,0.170623784929673
226,20.79,32.59,37.37,118.21,28.81,34.45,0.37,33.88,0.22,34.08,7.99,11.26,-13.72,21.03,95.03,142.77,38.97,85.28,38.78,31.38,-4.93,-1.82,65.46,55.16,32.19,1040.12,218.42,607.13,106.26,7.44,129.13,-72.97,53.5,46.28,65.46,0.14,131.71,58.39,-9.77,40.17,40.0,34.45,21.03,6.02,69.64,33.08,17.78,72.72,-542.87,211.83,17.78,33.64,-3.3,-0.96,0.1923847305935979
227,29.13,39.97,45.54,70.6,30.35,32.92,2.17,30.49,2.12,30.56,3.41,3.25,-4.85,81.11,30.28,-16.04,45.84,31.65,51.29,34.54,254.4,233.97,58.98,38.45,-5.47,97.51,46.65,85.44,34.68,75.82,78.11,-457.87,75.07,75.07,58.98,4.29,-550.7,-357.44,-2.2,39.27,35.71,32.92,81.11,55.62,-63.19,28.88,53.1,38.37,-160.33,-129.64,53.1,28.11,50.01,-3.34,0.5776476572972182
228,24.27,32.69,35.08,-27.63,30.17,27.95,2.7,24.59,1.16,26.48,4.35,2.97,-7.04,76.16,-36.46,144.08,20.14,-29.59,47.31,41.61,102.18,226.41,43.05,11.3,-0.13,120.99,184.24,132.86,80.75,7.19,57.4,-406.75,23.83,23.83,43.05,-0.14,22.24,-1.29,-41.95,-29.5,33.68,27.95,76.16,30.5,-147.97,26.63,55.73,8.61,-454.14,-854.65,55.73,25.53,-21.08,-1.03,-0.1329962490582017
229,9.26,13.29,17.6,55.71,4.65,5.35,-2.6,8.17,-2.7,8.27,-1.5,-3.58,-10.47,31.12,-38.28,-53.08,0.2,-32.54,38.12,20.81,-1.0,43.36,16.6,13.85,4.3,59.97,-10.18,43.9,35.33,5.32,38.42,-194.21,2.67,2.67,16.6,-4.47,534.05,517.58,-12.55,-35.32,22.05,5.35,31.12,-7.68,-68.45,6.45,32.25,65.83,-151.08,-176.31,32.25,5.23,1.02,1.04,0.1254373086804396
230,16.47,20.05,21.7,768.21,-13.27,-16.32,-2.84,-13.87,-2.97,-13.76,1.05,-28.15,-2.42,13.45,62.35,40.87,33.32,52.02,26.29,31.93,-20.52,4.11,13.88,27.09,98.61,0.2,-6.45,-0.75,15.83,5.74,23.23,-155.01,11.97,11.97,13.88,-0.85,8.03,-3.52,29.01,-23.46,19.35,-16.32,13.45,341.6,-2794.03,26.51,54.32,-14.41,-107.91,-142.64,54.32,24.86,-12.51,51.18,0.0545458749092018
231,18.04,20.51,22.27,-87.68,62.11,9.64,-1.0,10.75,-0.22,9.88,-0.11,-7.12,-4.64,17.35,72.13,22.13,41.59,67.26,38.35,44.97,22.57,13.71,28.29,41.51,22.36,42.77,95.61,49.89,42.01,5.48,23.06,-275.95,14.37,14.37,28.29,-1.46,38.0,20.67,-12.5,36.7,23.78,9.64,17.35,-69.94,631.16,18.79,7.24,26.06,-236.24,-41.25,7.24,19.63,0.59,8.34,-0.0088866014720097
232,14.56,16.87,16.34,262.28,9.93,70.8,-3.16,76.37,-3.88,77.69,2.72,49.1,7.08,17.43,-15.1,3.24,25.06,-6.95,36.64,31.8,-5.42,-13.01,-10.86,40.22,1.63,-1.83,-9.68,-3.21,-2.01,-5.85,31.77,-233.34,-22.01,-22.01,-10.86,-5.86,-13.67,10.69,-31.28,-8.44,6.99,70.8,17.43,107.56,-92.08,14.5,53.58,-152.71,9346.63,-68.01,53.58,11.93,-19.31,-32.96,0.0535565230185046
233,3.71,3.71,5.62,-221.15,23.23,21.69,-9.2,34.01,-9.39,34.29,0.08,17.33,-3.75,50.47,16.33,140.55,10.31,16.96,-34.3,0.67,27.7,-18.98,-5.66,11.21,50.94,-6.32,17.84,-2.36,11.27,5.71,26.49,-39.56,-32.46,-32.46,-5.66,-9.24,-61.56,-43.08,-69.65,-22.51,7.76,21.69,50.47,-112.93,-531.2,-8.86,-16.74,218.28,10.62,2928.69,-16.74,-8.15,18.36,-25.1,-0.096429291346074
234,-54.89,-54.89,-37.76,-102.12,-90.48,-98.79,-4.89,-98.72,-5.4,-98.72,-54.74,-97.31,-41.34,0.16,51.34,67.33,-68.51,24.13,-69.37,-5.38,-13.27,-16.43,2.21,-24.85,-36.17,40.64,8.0,34.18,9.77,1.65,0.24,-38.22,-17.53,-17.53,2.21,-1.1,-37.31,-23.98,1.26,94.48,-23.11,-98.79,0.16,-496.08,89.24,-98.25,-22.28,-62.6,-118.59,15.02,-22.28,-104.47,1333.18,44.07,-0.078089282430499
235,61.24,61.24,39.42,7930.77,158.38,1874.58,0.17,1871.3,0.49,1864.93,57.74,1124.6,61.24,-6.7,0.8,5.35,156.71,7.69,-90.15,2.57,26.5,8.56,8.08,58.29,82.36,-18.49,-10.74,-17.25,2.84,5.26,5.0,22.03,26.26,26.26,8.08,0.26,-113.84,-110.96,1.1,-40.95,3.62,1874.58,-6.7,94.8,-126.37,3217.65,6.29,-137.85,-181.09,-86.28,6.29,-1351.74,-87.02,68.02,-0.1917207469949295
236,55.96,55.96,46.19,-6.13,167.78,162.49,-2.85,170.19,-3.17,171.07,13.67,68.31,46.57,1.34,11.15,9.83,64.14,20.18,-176.92,-0.3,-7.17,-8.89,7.28,71.62,35.67,34.98,-18.71,25.75,29.3,5.39,12.63,85.42,-54.97,-54.97,7.28,-7.8,-231.34,-391.67,-235.54,-11.42,6.4,162.49,1.34,39.01,567.29,132.41,21.05,-48.1,295.24,95.37,21.05,145.87,-63.83,-11.46,0.0343977147066334
237,25.01,25.01,22.41,-63.88,39.71,40.26,-9.36,54.74,-8.79,53.78,-5.64,12.19,14.42,9.56,2.32,-0.93,45.94,7.82,-14990.0,106.09,-20.71,-23.58,-4.02,41.11,57.3,2.27,-40.43,-2.47,19.96,10.54,15.57,20.97,-198.63,-198.63,-4.02,-9.15,686.74,-897.64,303.43,-31.46,9.26,40.26,9.56,-37.75,-4.79,12.05,-6.25,-386.87,81.93,-106.94,-6.25,13.14,47.57,-20.11,0.5178573759134739
238,83.23,110.95,137.1,-182.14,137.5,128.54,39.43,69.1,38.15,70.67,17.31,28.67,73.24,8.84,-26.51,-26.51,16.99,-13.91,-3.82,9.77,-0.23,0.81,0.26,106.0,-45.1,32.12,-0.08,0.67,-0.83,1.69,55.91,-0.46,7.25,7.04,0.26,1.26,22.6,14.54,-29.25,56.81,5.77,128.54,29.71,-22.28,5.0,77.84,97.01,-88.64,-146.97,-149.79,97.01,76.88,-38.84,-24.57,-0.2871844046447025
239,5.45,7.62,7.09,-734.78,3.77,14.1,-3.3,17.15,-2.89,16.66,2.63,7.43,-4.71,-2.5,2.89,2.89,-6.37,-0.75,25.47,19.44,0.56,0.86,0.81,-11.98,-11.55,38.06,0.69,1.82,1.58,-9.9,34.76,32.29,-4.01,-3.69,0.81,-6.74,138.23,147.36,18.84,12.2,10.66,14.1,-3.55,35.31,30.27,13.59,87.12,-67.46,-21.61,-110.47,87.12,9.47,-21.12,0.27,-0.0360962173381502
240,2.82,-8.3,-31.29,-63.01,10.69,4.32,-5.05,10.77,-4.86,10.55,3.75,2.29,-1.1,0.64,37.72,37.72,118.41,474.27,3.72,10.69,-2.82,-3.61,11.43,-54.08,-51.85,29.13,13.53,14.17,13.14,-4.22,26.48,-53.54,1.42,1.01,11.43,-3.98,17.19,16.02,-13.66,1092.75,3.96,4.32,-1.34,-88.79,45.95,-20.74,-39.27,30.39,-62.01,651.82,-39.27,-18.96,39.21,-24.64,0.0644102594440259
241,9.03,10.28,13.32,-314.81,14.5,20.94,-2.73,22.63,-2.35,22.16,-0.38,9.41,0.42,2.55,-7.18,-7.18,-0.41,-4.93,-5.75,0.62,12.47,12.52,9.69,1.4,-7.27,-9.66,11.62,10.63,10.51,0.28,27.14,-40.68,4.16,4.11,9.69,-1.45,-16.1,-19.41,-27.08,2.52,8.57,20.94,-1.36,534.38,-98.93,62.59,-37.33,81.58,259.32,-122.62,-37.33,69.76,-2.88,36.3,0.2741598952410371
242,8.85,9.46,-5.65,-168.1,10.62,10.61,-1.15,13.66,-1.56,14.13,5.25,3.21,1.71,-2.48,31.86,31.86,19.69,45.99,-11.05,-7.22,3.22,3.03,9.07,-4.52,-4.52,13.94,9.8,9.96,9.88,-0.45,23.27,680.0,3.42,3.19,9.07,-1.07,-15.63,-18.24,-33.94,52.9,7.02,10.61,-4.47,-134.73,5233.33,-15.4,-29.79,-149.48,-45.31,-728.76,-29.79,-15.02,33.4,-24.7,0.0430572278826721
243,2.89,1.45,-5.02,-21.52,4.71,2.7,-1.09,2.67,-1.21,2.79,0.45,-1.3,-3.44,-18.47,3.83,3.83,-40.3,-9.51,24.41,9.2,-5.21,-5.27,-6.07,3.19,3.19,-40.8,-6.26,-7.62,-7.57,0.1,18.61,64.1,4.15,5.54,-6.07,-0.79,-155.93,-153.0,-43.96,-12.31,6.56,2.7,-11.15,-62.41,69.38,-2.5,234.85,-294.56,11.27,-67.58,234.85,-7.69,-9.56,-3.99,-0.0162788924220653
244,-2.16,-2.04,-5.72,200.0,-3.09,-5.43,-1.18,-4.04,-1.45,-3.77,1.46,-3.08,-2.16,-22.66,-0.9,-0.9,2.79,-8.59,-3.79,0.78,-0.86,-0.85,-2.26,2.43,2.43,-0.3,-2.84,-2.77,-2.74,-0.35,13.52,59.82,2.09,1.03,-2.26,-1.49,-3.15,-4.14,-19.55,-10.77,3.62,-5.43,-7.29,828.3,38.93,-28.3,-46.15,-59.57,-18.36,-40.84,-46.15,-26.88,56.94,-24.38,0.0510289967659554
245,21.92,12.29,11.15,-102.69,17.91,57.38,-1.38,58.3,-1.3,58.17,-7.56,28.05,14.02,-10.1,13.98,13.98,24.84,-5.1,5.9,7.76,0.84,1.06,0.02,6.12,6.12,2.01,-1.66,-1.57,-1.52,-0.42,24.2,-39.66,9.37,10.04,0.02,-1.27,60.63,45.97,-248.0,-10.58,6.92,57.95,4.8,157.52,-79.81,77.72,30.25,212.23,56.08,117.44,30.25,80.49,-23.24,13.84,0.1877909713234353
246,4.4,6.13,7.68,-4500.0,2.26,-13.77,-1.15,-12.06,-1.5,-11.74,1.44,-16.73,-2.61,-43.82,-7.81,-7.81,27.31,-8.3,8.61,11.44,-31.59,-31.23,-27.54,11.28,11.28,0.98,-34.15,-33.21,-32.93,-0.46,13.65,59.95,1.73,3.87,-27.54,-1.57,-29.59,-32.22,91.24,-17.6,7.19,-14.08,-8.33,1.74,3.95,-19.67,31.61,37.65,5.13,-181.51,31.61,-21.84,-10.46,-7.6,-0.153633603463367
247,2.4,2.79,7.51,-169.09,7.61,5.21,-2.67,6.83,-2.77,6.94,1.38,1.53,-5.82,94.0,-25.57,-25.57,-40.43,-27.73,11.2,14.5,11.46,14.21,5.67,-9.67,-9.67,-2.13,6.6,6.24,6.08,0.09,12.34,-17.37,3.62,4.14,5.67,-2.1,-108.84,-108.49,-13.2,-19.99,8.72,5.21,84.09,11.64,284.81,-6.21,24.51,149.26,-6.58,243.98,24.51,-8.39,30.74,-9.79,0.0298727302260126
248,11.46,11.61,10.33,38.82,12.74,16.79,-2.01,12.45,-2.06,12.5,-0.91,-1.14,9.43,9.28,79.42,79.42,11.2,22.29,-4.76,11.54,1.25,2.16,4.96,-11.91,-11.91,46.6,2.71,4.36,4.21,0.56,12.33,-40.98,5.17,7.81,4.96,-1.72,-1211.11,-1130.65,128.09,38.82,1.85,16.79,-11.6,43.85,-127.8,29.79,-23.62,-87.39,-109.45,-317.92,-23.62,34.94,10.29,17.79,0.3094616874366602
249,19.56,18.78,18.19,224.64,25.28,17.39,-0.84,20.66,-0.28,19.99,-0.91,0.08,7.21,38.68,7.61,7.61,7.19,-29.66,249.93,104.55,-12.7,-10.67,-13.75,35.89,35.89,28.28,-21.36,-18.76,-18.35,1.8,13.78,63.2,6.83,3.29,-13.75,-0.56,34.07,29.81,27.5,-48.24,11.52,17.39,15.92,12.75,289.35,32.09,75.77,662.6,-1037.3,-80.71,75.77,29.7,-3.89,10.4,0.0249884700759941
250,-7.75,-10.5,-1.65,-129.05,-23.04,-19.52,-0.85,-11.5,-1.3,-11.1,-5.26,-4.88,-14.27,2.72,-6.18,-20.45,-13.86,-18.56,6.88,8.19,-25.76,-23.61,-22.94,-7.37,-7.37,-8.9,-32.98,-30.98,-30.69,0.67,7.9,100.18,0.14,-0.28,-22.94,-1.27,-59.4,-59.29,42.98,-12.08,7.61,-19.52,0.72,-118.89,-236.32,0.24,56.3,-41.66,137.95,-324.44,56.3,-3.91,-26.46,14.24,-0.0095412623987225
251,-0.08,-4.09,-9.46,-513.07,13.75,13.66,-1.06,7.4,-1.12,7.46,-2.05,6.34,-0.08,182.78,21.26,17.8,19.98,16.59,-0.55,0.89,2.81,2.82,4.75,-4.17,-4.17,14.29,2.85,4.1,3.97,0.31,8.26,-23.71,4.25,6.33,4.75,-0.84,7.35,0.96,36.21,21.67,3.62,13.66,2.15,-461.0,-61.43,-15.96,-35.46,-15.13,-63.4,-175.12,-35.46,-13.61,38.1,-20.91,-0.0636844431698135
252,3.59,3.94,-13.0,-153.96,8.37,2.1,-13.22,-66.32,-12.51,-66.59,26.82,-71.78,7.43,5.23,-14.25,-34.49,9.99,-4.91,-7.73,-7.14,-1.58,4.42,0.22,6.42,6.75,-13.08,-10.82,-12.22,-4.84,-2.16,2.85,-6.69,5.86,5.77,0.22,-0.59,-131.16,-129.46,7.08,-10.92,-3.57,-61.95,5.23,-92.98,-495.24,10.48,-41.92,-12.97,19564.71,702.41,-41.92,21.95,-11.33,277.95,-0.0404772173754954
253,9.03,10.13,13.76,-87.41,14.99,16.55,-0.76,20.48,-0.58,20.26,-0.79,9.66,9.03,7.66,19.61,14.76,7.56,15.41,-3.07,1.46,-2.26,-0.85,6.09,-10.13,15.45,0.9,17.09,7.17,10.79,-14.56,4.53,28.43,1.55,1.46,6.09,-0.82,-169.17,-168.18,-5.76,-0.03,3.62,16.55,7.66,82.33,-23.49,7.77,-13.44,-62.3,-20.52,-128.0,-13.44,9.98,25.1,-9.87,0.394388850672662
254,-17.05,-16.84,0.29,2848.15,-66.48,-52.45,-1.76,-46.21,-1.69,-46.25,-29.03,-36.29,-20.02,-14.98,-67.61,-71.33,-17.63,-37.84,17.96,11.96,71.4,49.42,8.88,2.59,6.41,22.17,87.79,49.95,30.15,-12.57,-1.02,5.16,-14.62,-14.05,8.88,-3.26,-2113.33,-2442.39,-148.28,-41.59,3.7,-52.45,-14.98,-474.59,166.93,43.41,49.32,368.13,63.08,-652.14,49.32,42.92,-37.38,171.38,-0.1721068896160494
255,-7.01,-9.57,-1.37,-97.49,23.55,3.16,-1.56,32.83,-1.54,32.81,-13.88,40.63,-7.01,12.04,59.95,116.55,8.98,98.68,-14.14,-5.76,-35.22,-25.4,7.51,-2.14,50.26,21.51,-60.4,-21.92,4.93,-26.48,0.67,-33.14,11.24,11.72,7.51,0.67,-17.15,-25.84,-240.1,32.22,3.62,3.16,12.04,-106.98,-243.95,-48.93,-2.01,-91.5,-75.35,-146.25,-2.01,-52.95,196.32,-60.94,0.403567911471361
256,-3.09,1.54,11.66,-1767.5,-17.64,-21.36,0.79,-22.42,0.48,-22.18,-39.08,-19.32,8.54,-38.79,64.31,55.35,0.89,-22.77,-3.54,2.52,-9.11,-2.72,-12.55,2.73,-31.99,-9.26,4.36,-5.6,-19.65,-19.37,-1.25,13.26,-1.99,-1.66,-12.55,0.73,-52.44,-51.64,24.5,13.54,-10.71,-21.36,-38.79,-257.69,-58.81,-11.2,-2.05,-312.59,128.18,1.15,-2.05,-12.83,24.79,13.57,0.0278924056334064
257,4.29,5.89,-12.25,-34.48,-8.99,-16.71,0.6,-19.45,0.54,-19.4,-7.41,-22.29,4.29,-19.49,-42.57,-57.19,26.81,-28.7,-0.11,-4.8,18.85,11.45,-5.93,2.76,-5.25,-9.56,-9.99,-9.68,-7.68,-2.78,-2.85,1.77,-3.95,-3.73,-5.93,0.48,90.36,97.74,5.13,-24.75,3.62,-19.62,-19.49,89.14,-611.44,-41.8,55.89,-229.28,37.51,-260.4,55.89,-61.4,62.35,-28.19,0.1998256197476038
258,17.31,14.47,0.02,214.87,172.96,166.69,0.24,173.79,0.06,174.28,99.18,133.94,17.31,1.6,48.71,77.65,28.94,31.58,12.87,6.28,0.35,-6.23,6.17,5.08,10.28,-12.73,1.67,-8.47,0.21,15.83,6.01,1.42,13.4,13.33,6.17,0.18,-42.59,-49.34,21.68,19.32,3.62,176.33,1.6,-179.6,32.3,55.57,48.17,-194.15,-27.04,-160.98,48.17,61.56,-44.41,-43.32,-0.2302612077795567
259,6.94,1.58,-3.06,22.17,-13.25,-78.37,-1.56,-77.05,-1.67,-77.02,-19.45,-78.87,12.81,106.54,7.28,27.94,13.66,8.39,0.42,-2.03,-8.84,-6.53,-0.46,21.83,8.17,22.03,84.3,42.52,25.02,8.89,-7.02,-8.55,-27.42,-27.53,-0.46,-2.34,2.83,41.89,-53.39,0.21,-5.2,-78.37,106.54,-383.21,-216.76,85.09,-13.17,-104.46,66.75,-39.95,-13.17,158.1,-33.52,719.2,-0.1171109898674478
260,8.59,8.86,-6.15,-46.94,17.13,410.67,-0.73,395.37,-0.91,396.26,25.02,352.85,10.46,-19.26,30.42,27.49,-5.32,-40.19,0.52,-1.58,-144.82,-90.51,-68.23,2.11,-82.19,-19.05,3.41,-53.5,-66.14,8.64,9.32,20.66,19.5,19.25,-35.99,-0.06,-82.76,-85.54,1347.77,235.85,-1.69,407.38,-19.26,-90.64,-88.92,12.61,-9.86,1224.24,-13.29,35.25,-9.86,18.22,-24.99,-77.1,-0.0665844135533784
261,15.89,12.82,7.03,-205.16,-17.22,-30.51,4.41,-33.49,4.58,-33.6,14.84,-40.07,-10.0,78.18,73.27,78.64,28.83,230.41,24.37,15.4,-1961.37,5567.04,1119.1,-29.24,974.81,680.36,207.45,961.67,964.72,1811.42,1.2,-44.97,267.74,265.95,505.07,37.19,7750.91,2045.34,-137.27,-69.26,28.76,-30.06,174.1,-213.33,1641.48,35.81,-12.09,1017.85,-315.59,286.54,-12.09,44.94,0.79,95.56,-0.0113993584393965
262,62.62,70.17,57.28,864.61,-238.11,-359.97,32.43,-297.94,31.89,-298.75,0.82,-261.19,61.28,753.57,2.85,17.82,10.62,2.85,7.89,1.21,-17.67,-12.23,-8.82,-10.16,4.24,11.6,-22.24,2.63,3.01,1.4,-38.27,20.99,-26.7,-26.72,-8.82,-0.31,5.07,43.39,0.52,-1.33,0.83,-359.97,494.5,-5827.45,-67.93,74.19,-9.93,11.15,-115.1,-65.5,-9.93,83.92,-23.37,-166.45,-0.1584950876470254
263,9.09,18.54,0.38,-95.15,-217.86,-177.98,-1.64,-178.87,-0.58,-178.03,40.32,-171.11,2.49,3.46,8.78,-3.9,47.23,10.17,3.31,6.5,-13.84,-13.86,-7.74,6.99,14.61,-17.67,-11.25,-16.38,-9.05,0.08,11.93,-31.05,-4.96,-4.95,-7.74,-3.06,-15.38,-10.97,-26.27,-3.88,6.45,-177.98,2.95,-102.05,-227.47,15.34,29.22,-95.05,1309.56,-127.18,29.22,14.55,-12.69,-248.66,-0.2401289568443712
264,-0.49,-1.16,1.61,216.86,-4.75,-9.54,-4.1,-5.67,-4.41,-5.36,1.31,-9.09,-6.58,-4.27,-46.27,-34.74,11.35,-18.01,7.28,5.8,-9.77,-8.55,-11.43,4.4,0.1,-10.28,-31.62,-14.83,-10.38,1.8,7.07,1.03,-13.59,-13.58,-11.43,-3.62,-1.23,14.28,13.29,-18.09,6.52,-9.54,-3.84,452.5,77.89,-19.38,14.9,97.4,4.55,793.33,14.9,-21.57,33.39,-10.88,0.384238361324478
265,-2.5,-4.74,-0.54,-117.61,9.43,26.71,-2.86,30.58,-3.17,30.99,-4.98,30.09,-1.93,1.72,32.71,25.66,9.52,16.49,7.51,10.31,-11.01,-8.85,-1.72,12.6,1.7,5.14,-30.23,-0.91,-0.04,1.14,12.79,20.69,-5.25,-5.25,-1.72,-2.6,-6.26,-1.06,-38.58,14.54,-0.58,26.71,-5.02,52.79,-14.13,6.08,8.14,116.1,-44.49,-143.34,8.14,5.88,-35.39,-16.37,-0.5037540174621379
266,21.06,21.06,-5.09,64.92,64.92,59.86,5.45,52.67,5.45,52.67,13.03,32.98,19.66,36.84,8.66,25.1,41.41,-27.05,99.6,99.6,65.48,44.92,25.28,23.43,29.51,50.08,22.02,29.77,29.73,38.62,15.04,15.68,20.0,19.99,25.28,6.21,127.14,89.29,-12.55,-43.68,1.17,59.86,36.84,-168.08,22.77,12.93,21.13,63.76,3387.12,57.44,21.13,9.22,10.58,-29.85,0.0911320690455426
267,5.51,5.51,12.54,-19.62,-19.62,-20.36,0.87,-21.6,0.87,-21.6,21.65,-25.05,1.23,9.44,-4.87,-2.43,-9.11,48.0,7.8,7.8,-22.98,-2.55,5.49,11.39,10.16,3.52,7.61,6.3,6.88,0.73,10.34,-14.23,4.79,3.7,5.49,0.16,13.46,9.41,0.79,34.35,4.23,-20.36,28.35,-30.49,182.27,14.42,36.97,4.99,-127.29,-112.01,36.97,3.11,-18.56,44.7,-0.0475277380404157
268,13.07,13.07,21.14,45.2,45.2,42.49,0.09,44.45,0.09,44.45,-0.9,27.86,6.21,9.89,14.48,25.99,14.42,20.47,6.46,6.46,-0.11,5.53,8.86,8.12,7.55,4.12,5.49,5.06,5.44,-1.53,13.54,55.77,13.83,13.39,8.86,-0.48,-31.8,-39.85,7.78,12.02,6.46,42.49,12.05,31.68,-78.97,2.31,19.34,-44.9,-63.64,-1129.03,19.34,-9.04,7.53,-29.23,0.0415655463108166
269,12.12,12.12,13.46,29.5,29.5,29.6,-0.47,32.0,-0.47,32.0,-5.68,17.18,7.11,26.47,-1.87,2.54,-5.77,-7.78,15.84,15.84,10.0,20.4,13.45,7.0,5.46,16.23,9.16,11.34,10.42,-4.72,15.67,60.09,18.25,17.17,13.45,0.06,52.68,30.31,2.85,-12.55,4.68,29.6,5.75,120.42,335.12,32.24,13.42,160.4,-219.23,-88.19,13.42,48.7,5.17,0.65,0.0257266524520576
270,6.88,6.89,15.14,-2.4,-2.4,1.64,-0.01,2.04,-0.01,2.04,5.96,-4.53,2.14,13.25,17.79,31.3,6.61,15.7,10.85,10.85,13.41,6.62,8.51,6.31,-19.05,11.36,14.42,13.44,8.72,0.28,13.82,-2.94,8.24,8.26,8.51,-0.06,-29.53,-34.9,0.1,42.93,4.64,1.64,13.25,6.07,66.29,15.54,36.96,-29.66,184.18,1260.35,36.96,1.25,5.96,13.24,0.1525410051520603
271,8.29,8.34,11.57,24.34,24.34,21.04,-0.02,21.21,-0.02,21.21,-2.54,11.91,3.39,5.55,7.78,13.37,6.64,7.56,5.77,5.77,4.84,4.33,4.95,-22.26,5.94,3.69,3.48,3.55,3.7,0.13,14.72,-20.48,6.4,6.42,4.95,0.03,-25.86,-30.33,2.53,1.53,4.75,21.04,5.55,120.17,-5.56,-1.62,5.91,37.68,39.25,-43.88,5.91,-8.42,-13.32,-18.82,-0.1133467323746841
