,Sales & Services Revenue ,Gross Profit ,"Selling, General & Admin ",Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP ",Diluted Weighted Avg Shares ,"Diluted EPS, GAAP ",EBITDA Margin (%) ,Profit Margin (%) ,Sales per Employee ,Depreciation Expense ,"Cash, Cash Equivalents & STI ",Cash & Cash Equivalents ,Accounts & Notes Receiv ,Total Current Assets ,"Property, Plant & Equip, Net ","Property, Plant & Equip ",Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Cash from Investing Activities ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
14,14.31,16.78,23.44,-187.31,-20.59,-19.49,-0.04,-19.46,0.06,-19.54,-7.06,-29.57,-7.28,25.59,-45.11,-58.59,9.82,-4.27,4.61,5.38,41.87,27.63,13.44,21.92,32.28,11.16,38.4,19.76,25.3,111.79,10.98,-260.04,-2.05,-1.84,13.44,-0.27,99.7,103.45,-272.64,-27.64,23.29,-19.49,25.59,-477.83,-292.98,20.08,-6.79,229.53,-208.55,-199.16,-6.79,24.81,-25.24,49.15,-0.2105157844213865
15,10.48,13.7,22.94,-19.62,-9.0,2.23,0.69,1.53,0.71,1.51,-11.78,-7.47,9.26,15.99,48.54,86.74,6.96,6.5,-1.22,3.7,-2.13,-1.71,1.37,13.69,-10.32,-3.86,14.32,2.77,-3.34,12.26,10.46,90.01,9.16,9.12,1.37,1.51,-43.67,-48.38,-81.08,18.76,1.11,2.2,15.99,44.8,-99.84,2.68,46.93,-102.14,453.76,-170.65,46.93,-3.14,10.94,0.44,0.217793962660066
16,2.63,6.19,-5.46,281.56,20.47,26.09,1.16,24.65,1.6,24.11,23.58,22.86,2.63,-8.56,87.39,58.56,-0.92,31.78,2.4,5.06,-2.41,-1.63,11.54,0.41,-14.21,50.21,10.03,33.9,13.07,19.74,15.51,38.37,9.33,9.33,11.54,0.4,12.46,2.87,-269.13,53.61,3.62,26.12,-8.56,102.83,-174404.87,3.84,20.37,-2431.5,-111.89,23.13,20.37,0.54,9.4,-17.65,0.0688939012883749
17,-45.21,-52.3,-42.48,-94.88,-59.75,-60.04,-1.08,-56.33,-1.13,-56.31,-28.87,-21.16,-27.74,-71.58,-46.63,-67.83,-47.64,-38.55,-26.76,-32.01,-35.88,-33.99,-36.12,-45.38,-28.41,-81.27,-47.1,-69.87,-56.25,2.5,-8.99,-44.01,-5.8,-5.77,-36.12,-1.81,-68.1,-66.15,522.07,-14.16,-24.18,-56.8,-38.24,-89.04,-33.49,-64.31,-36.22,-35.39,-1035.07,-284.87,-36.22,-71.02,207.47,-17.39,-0.0564462899771158
18,-7.33,-6.6,-5.85,-25.0,-0.12,-27.78,-2.7,-8.88,-2.99,-8.61,2.92,-4.32,-16.96,-29.84,-44.92,16.92,-10.04,-20.71,0.51,-1.85,12.26,9.74,-3.91,-8.96,10.78,0.59,18.89,11.31,11.03,2.78,4.07,151.14,-14.48,-14.36,-3.91,-2.59,22.55,43.1,-39.58,-28.43,11.59,-11.34,-9.95,25.19,-60.39,10.56,-5.94,-94.86,-59.05,-110.01,-5.94,19.23,8.64,24.69,0.0869306089514012
19,0.78,5.7,3.91,-490.12,26.41,51.42,-1.32,96.24,-1.38,96.35,3.82,92.15,4.87,8.29,37.33,23.09,-4.68,-7.25,-3.45,-1.97,-12.74,4.14,-0.07,4.95,-12.78,72.27,-14.61,17.92,1.45,2.83,12.6,31.76,-1.46,-1.45,-0.07,-2.35,5.76,7.32,9.45,6.34,-3.9,-30.69,-4.91,-79.88,-68.16,-19.29,3.06,-300.99,-18.45,55.4,3.06,-28.56,13.5,-58.32,0.0259837067638704
20,2.2,1.47,-1.67,-660.76,-55.61,-59.21,-1.27,-67.94,-1.53,-67.86,2.34,-69.03,0.83,-8.49,206.53,272.33,-4.97,89.16,-0.44,-0.14,-0.48,-4.44,27.68,-10.43,-27.5,252.26,-5.26,135.58,60.38,2.3,-0.75,9.09,-3.17,-2.86,27.68,0.01,-15.35,-12.86,-10.69,160.91,1.35,-13.14,-8.08,2867.16,869.87,7.99,0.99,-161.08,-598.52,1141.37,0.99,12.18,-21.13,241.17,-0.2185571668322355
21,31.35,27.26,36.65,-128.5,57.89,-66.79,17.81,-71.08,17.94,-71.11,-20.36,-74.06,-0.49,259.09,-48.81,-49.48,61.61,-24.76,33.34,23.44,176.21,116.7,44.78,61.06,33.81,31.57,95.96,43.3,41.33,78.14,-6.21,-16.54,50.44,50.11,44.78,18.38,446.87,264.32,-322.82,-43.77,32.0,-65.31,123.28,-92.1,-226.57,73.9,1.25,3778.23,-147.38,-166.15,1.25,113.02,14.29,410.4,0.3260829872807522
22,11.64,18.73,6.88,-253.86,28.78,561.19,1.03,391.35,1.2,390.55,30.73,344.68,7.3,10.28,-57.48,-59.14,-1.28,-27.37,-0.58,2.89,-7.42,-6.35,-11.9,7.4,1.12,-28.85,-10.52,-24.29,-19.27,1.32,2.43,25.14,-1.21,-1.21,-11.9,0.69,-15.09,-14.06,-1.85,-28.18,4.04,396.44,8.51,410.83,-107.73,13.11,22.82,-85.9,96.76,-41.61,22.82,10.62,9.58,-77.22,0.3529912650947017
23,4.34,4.48,0.22,-41.44,41.91,57.97,0.57,54.82,0.62,54.74,4.39,49.23,0.44,-11.11,1.32,0.42,4.69,7.07,6.28,6.96,-1.77,-0.61,1.06,6.59,20.54,-10.04,2.81,-6.25,0.37,-49.27,5.24,11.59,1.85,1.88,1.06,0.39,-9.18,-10.86,-29.83,-11.17,3.88,55.7,-8.05,-4.49,799.32,-2.6,17.5,33.85,-58.72,-100.59,17.5,-8.32,20.36,-37.45,-0.0679791116918953
24,8.48,4.99,-0.71,-14.51,21.85,21.26,0.28,21.57,0.28,21.57,6.09,12.39,6.49,10.12,72.66,77.15,18.23,30.47,12.33,11.87,-2.41,-0.22,6.87,24.53,9.61,11.56,-1.18,7.44,8.09,1.22,6.89,5.68,5.46,5.44,6.87,0.5,-16.6,-20.9,-49.62,19.03,1.87,21.91,10.38,26.76,-32.98,28.76,32.91,22.04,-35.21,8984.38,32.91,27.26,-3.27,5.62,0.1178181514001486
25,24.47,25.16,16.79,-44.99,65.28,58.15,0.11,57.13,0.17,57.04,10.68,26.39,20.06,-3.99,43.38,43.3,1.14,18.58,-0.78,3.04,-2.54,-2.21,3.65,5.68,10.06,-6.06,-4.8,-5.68,-0.94,1.35,14.12,-6.39,9.21,9.15,3.65,-0.4,-30.72,-36.53,-100.85,7.74,3.67,57.31,6.34,-28.42,-13.57,33.31,-13.41,-9.35,97.7,4.27,-13.41,51.08,5.97,-15.25,0.0363559231937149
26,1.34,-0.11,-0.67,-73.83,1.16,-1.95,-1.24,-0.72,-1.4,-0.56,-4.08,-3.25,-0.42,-1.66,-0.77,0.85,36.9,4.06,2.27,4.38,-4.6,-3.42,-1.01,7.18,18.19,-15.27,-15.82,-15.43,-4.18,0.98,11.83,-3.86,2.47,2.45,-1.01,-1.49,-16.48,-18.48,6341.28,-11.95,1.77,-1.95,-7.66,29.5,97.02,-9.04,-5.73,-13.35,38.99,-93.24,-5.73,-9.76,-16.05,-7.23,-0.0123906217715344
27,-8.12,-9.7,-2.66,-432.14,-19.77,-17.45,-0.74,-16.84,-0.85,-16.74,-9.02,-10.16,-7.31,61.1,-28.43,-30.22,-0.68,-10.13,10.83,8.51,0.78,2.7,-1.64,-3.6,-10.64,-5.93,-8.83,-6.8,-8.38,0.65,6.52,-2.63,5.23,5.21,-1.64,-0.21,12.94,7.35,75.39,0.58,-0.87,-17.45,-0.73,-14.44,62.94,-24.21,23.92,80.06,-7.14,-1545.37,23.92,-35.17,19.66,-8.19,-0.2196987550157116
