,Cost of Revenue ,Gross Profit ,"Selling, General & Admin  ",Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP  ",Diluted Weighted Avg Shares ,"Diluted EPS, GAAP  ",EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI  ",Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net  ","Property, Plant & Equip  ",LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
3,0.5356725146198831,0.3365265558813947,0.24282576626782493,0.693929173693086,0.6463766386186867,0.1685318636211648,0.0019819196405856435,0.320462301141086,0.16904129437333978,0.3272968197879858,0.18228082350219754,0.35153000594177064,0.5346939874525433,0.5542020650895308,0.27440924124047356,0.2745830937320299,0.30861138153818923,0.7900609306477278,0.39827297277103546,0.4056983586249613,0.9999999999999999,0.3639346190028222,0.19981397271599832,0.28111978074223226,0.3443316692564552,0.12132278791021986,0.3595713306610729,0.5648453391316547,0.6705031640936375,0.412948945079723,0.05810699682481668,0.038521567487337996,0.06290620714328306,0.1284806635477742,0.21350606186501495,,0.9995397142294864,0.17062677874114765,,0.10112097150864081,0.1917948606129324,0.4632583440899871,0.1656286855227494,0.0018974088899581778,0.28469571417391987,0.44593713665275975,0.34171742354908957,0.34171742354908957,0.1284806635477742,0.10825471698113207,0.38598170977703333,0.42405244768134875,0.16368179376731157,0.2969315179841496,0.08879067214324923,0.4550500545148181,0.32175550914449663,0.3022894649450099,0.23399895303658846,0.3069906109553686,0.9769082146165949,0.6644546048986478,0.10867084997147745,0.9461913360013858,0.4435287309965106,0.9999999999999999,,0.0,0.3852118977058618,0.7821723924655608,0.10867084997147745,0.6271971049001792,0.708185449463908,0.6517535816315173,-0.7324510550883557
4,0.37914230019493184,0.4410557184750734,0.24470742501229303,0.7124086565486228,0.6830777187642975,0.160652146340901,0.002118971640576452,0.337994152790136,0.04733156242453515,0.3512688724702859,0.07425399028452462,0.37654910449028095,0.570074584668408,0.5911122729055026,0.36284331112495805,0.36299597469810235,0.4572971059385786,0.8268327705980517,0.41798755430315837,0.32208113967172497,0.2097321294956851,0.2597601128880527,0.03995452666391071,0.181558855608692,0.4152147320395411,0.046885354539430095,0.40598974018151984,0.3291014940029459,0.6842088139122512,0.43912063134160095,0.062247298809877324,0.04943154866647285,0.06977073519766264,0.11710147296165396,0.18872984099407034,,0.9995570738300913,0.27672248328810645,0.18984294108107433,0.10464269033162073,0.12289175016081028,0.4628434445878665,0.1606836192092032,0.0018596785692409797,0.27628753032424114,0.4423215644449764,0.3267480880697658,0.3267480880697658,0.11710147296165396,0.04834905660377356,0.5383047986272108,0.6091369726660905,0.16238902170593253,0.102336923389555,0.09376313149476634,0.49489543066706315,0.33925399644760207,0.21576058291496558,0.25985210984171914,0.2963111289102478,0.9898210771690722,0.6658871623881283,0.1281165061575115,0.9457743384073588,0.44306405512984626,0.19554536521454308,0.00559462032312318,0.17751507645676684,0.37650875332569567,0.7734200730953049,0.1281165061575115,0.6275328448858059,0.7203191406040669,0.6478817624330183,-0.44609416490587817
5,0.569103313840156,0.5912023460410558,0.2504376331748893,0.7022203485103992,0.7398102285611983,0.16332368642553244,0.002356555796249141,0.3658221783301229,0.061579328664573774,0.3807822036620623,0.09137173259310663,0.4075311942959001,0.6455747327607099,0.6051235132662397,0.49954464842064894,0.4996645581751965,0.46836003186122666,0.8383397368727442,0.4243491626372923,0.6269742954475069,0.2042699655808849,0.28806444026340544,0.25500206696982225,0.3366893195737898,0.34780308790954473,0.040834701933327576,0.34397391430766994,0.5879918636459284,0.6717639211986138,0.39664197133193757,0.06424606528542384,0.0505485593622328,0.07052352274760003,0.1442521808412838,0.39857234580957057,0.014195658433790134,0.9995295545646634,0.21622873783837449,0.20672147303551602,0.1149182624941616,0.14074986644571152,0.454130555043334,0.15993875566406657,0.001853995341015795,0.2859825923639431,0.447606930955475,0.34432627470781924,0.34432627470781924,0.1442521808412838,0.09316037735849055,0.42821766071803724,0.4676523477341897,0.16322629566829208,0.25803698435277383,0.0935416706100585,0.47973039944494,0.3670290632990455,0.23927057490574521,0.24455539567588327,0.2881680238508432,0.9901417223184631,0.6720816008705158,0.14313278077916847,0.9533468549711988,0.46971423895445014,0.19199274358134497,0.00614166234041991,0.17153291412272517,0.37435391556283554,0.7342535844813044,0.14313278077916847,0.6296934941481449,0.7104547197111163,0.6469303708572064,-0.6238923606663085
6,0.26686159844054586,0.3127403062886934,0.23704966398950988,0.6388420460933109,0.6375644009468678,0.1618120813107496,0.0019383420286125182,0.31735291529368054,0.07486114465105047,0.32762809187279146,0.09900532037936619,0.35160427807486627,0.5083604835886805,0.568370147693112,0.2531754781191583,0.2533544182480353,0.4128683954332242,0.8096596421779796,0.41051586666239714,0.2358315267884794,0.2057913902329525,0.23120884289746002,0.2457833815626292,0.18127919008865395,0.29847588190564356,0.026061025153427265,0.2362042825396166,0.5118888966823315,0.6809064436888939,0.3889515219842165,0.05158530735317632,0.05283613606108366,0.05835966847534435,0.11452736521685837,0.16297163575933832,0.008562551537283542,0.9995352448573737,0.1201270765768747,0.1526303314579409,0.08901447921531994,0.10497912192143738,0.31942651668818,0.15246942955866838,0.0017970051913132488,0.28534350083038423,0.4435491972163327,0.3447996549583952,0.3447996549583952,0.11452736521685837,0.1061320754716981,0.4191989707798908,0.4582433877171495,0.16485740013270003,0.33667953667953665,0.0970434025477466,0.4009317078005749,0.3186520406769074,0.19204547674395894,0.2679095192123047,0.2532372179949272,0.9892273445048374,0.6583325430141609,0.14457568537968524,0.9463497484952061,0.44523400375247685,0.19496585955806395,0.005669140413216706,0.17182193882160787,0.3751639177405153,0.7734891200449816,0.14457568537968524,0.6246713190636104,0.7178293327397367,0.6453270507921196,-0.5943759595785851
7,0.3992202729044835,0.408276311502118,0.24259629568923124,0.5739881956155144,0.6732310875057189,0.16750452559120943,0.002100834819020782,0.33716302764224465,0.0813813088625936,0.34868896562801155,0.11126532500578303,0.3735888294711824,0.5511187700261182,0.5754280486210953,0.33911709725351097,0.3392754456584244,0.4209222055049119,0.818993285985951,0.41778475135290916,0.43341591824094144,0.20499326582531047,0.2351716839134525,0.14042992972302604,0.18704029980143747,0.381789929579793,0.1247154752643559,0.47159857940974886,0.5175703163358351,0.6848757950903677,0.38186503462715415,0.05750736688215272,0.041581870763392655,0.06432979548029337,0.1266420151586345,0.26989462552403976,0.012953037263910158,0.9995356384521368,0.21804884505923622,0.13741096044211026,0.09426436244745445,0.10096704207232646,0.3733173520191776,0.15408330057313113,0.0018093188524678156,0.28430878120462233,0.44782680946925657,0.34171742354908957,0.34171742354908957,0.1266420151586345,0.11603773584905659,0.4173026476018019,0.45706573164187786,0.16384766879759033,0.22426336110546638,0.09357763434347259,0.4066805431658242,0.3384244529892842,0.1953370709695064,0.25006642167372095,0.24237974458238773,0.9826961149441922,0.6622308963217713,0.1051642562330123,0.9468932098448041,0.4480571288291922,0.19496585955806395,0.005749238984630792,0.1731432658992287,0.3747978545120577,0.7743752600506044,0.1051642562330123,0.6263933402802114,0.7223287123488699,0.644433961764129,-0.4471521467986148
8,0.48440545808966873,0.4787878787878789,0.24386821832486474,0.6276700393479483,0.6998269379960612,0.1599753254390112,0.002177321324404874,0.35406909094464706,0.07220478145375514,0.3674208962415676,0.10501966227157067,0.39319667260843727,0.5862031826381972,0.5842373545941707,0.4032018405790154,0.40334483419589806,0.4317196212054164,0.8259983700081499,0.42495757148804,0.5528027253019511,0.21212650271861122,0.24769520225776107,0.09685820587019428,0.267220404396342,0.43329917016563624,0.01937649465525687,0.3022908056242082,0.38928245774005754,0.6825820305509914,0.3731679819616686,0.042356716997510105,0.055345584747448474,0.04956472482261046,0.08735622791068255,0.07591494504664427,0.009119645030824203,0.9995925504422762,0.1793963862598451,0.0969299285188558,0.09430172816440915,0.07714531796823043,0.292365849160981,0.14851751463863774,0.0017668525082296304,0.2710748041423565,0.5099786907530265,0.31584982274539514,0.31584982274539514,0.08735622791068255,0.037971698113207525,0.4079158478702618,0.4527688230402779,0.16326578972312036,0.19878073562284088,0.09328046033578771,0.4194667459609476,0.35529834286495027,0.2057392901095896,0.1510021123407524,0.2217772438036755,0.9856560953082237,0.6685051986363251,0.12128787624576355,0.9436199617713379,0.4282411872322269,0.20076091612285518,0.005431546227664278,0.17874106032629342,0.379791013757255,0.7088197919595164,0.12128787624576355,0.6286390849306125,0.7187197276051264,0.6464480497797753,-0.6062124876953261
9,0.31569200779727097,0.3558813945910721,0.24371086707097195,0.5643620011242272,0.649300789719719,0.160960001844827,0.0019838071831004872,0.3244419239080482,0.028978507606858245,0.3372751365242531,0.0534351145038168,0.36190688396570747,0.5298742561727565,0.5756110312377467,0.2814552077841154,0.28162737205290395,0.42251526683777324,0.8110567780494431,0.4126613083992443,0.3425209043047383,0.2057165660697361,0.25679680150517403,0.22560975609756095,0.4371731409234555,0.28832611498661026,0.03544673985075057,0.334399468317099,0.5427509293680297,0.6567405768573797,0.31567080045095836,0.027485894419444,0.07478616130858569,0.03461332061296286,0.07738666775623608,0.10616761717717266,0.0063341775631209005,0.9995374601226358,0.09514196836322722,0.09881363755442173,0.08901447921531994,0.07663290559619725,0.24050341139590636,0.1491175436055534,0.0017714306642999179,0.2682923648125766,0.44891070634703506,0.3206046643734024,0.3206046643734024,0.07738666775623608,0.05400943396226415,0.40308022376613506,0.44518881411057265,0.16403724026076608,0.3978053241211136,0.09039579035036248,0.38447814451382695,0.32572755840961876,0.21329921275224165,0.21464854385277274,0.23646153161571662,0.9891467008309817,0.6604813792483816,0.07897385993758597,0.9482841447564051,0.47503901523786146,0.18962432915921287,0.005696787226302251,0.1721983198629853,0.3750208299800222,0.7834078155749227,0.07897385993758597,0.6259810144453289,0.7158712884755698,0.6458279226802212,-0.27208209244729115
10,0.37436647173489285,0.4213750407298795,0.24367152925749874,0.5763771781899945,0.6761950229754728,0.1583265113168606,0.0020813849244113083,0.33527588465938535,0.047090074861144665,0.3483175393511082,0.0830441822808235,0.37294160088277734,0.5504456231993323,0.5766827865638479,0.34625892728754254,0.3464155645006709,0.4443756084609257,0.8231264796056972,0.41663197668833457,0.403685351502013,0.1949169451788297,0.22509407337723425,0.09904919388176932,0.12769527644936654,0.24951234833206598,0.031924395655055185,0.31155371866497744,0.29234761871361437,0.663141969383937,0.3227170236753101,0.0469538798912671,0.060203816198185246,0.05517709140778725,0.08376064883858711,0.1392151678815576,0.006866729493069462,0.9995383120481428,0.12568667681514328,0.110702211798755,0.0914619336758524,0.0844826270401099,0.2788585653697216,0.14920030622167968,0.0017720621341027162,0.2541236620379629,0.4503162723992887,0.3077287215577367,0.3077287215577367,0.08376064883858711,0.10306603773584903,0.4140231239879305,0.4646334519864498,0.16196116944529285,0.20069091648039017,0.08843671329333158,0.4192685102586976,0.3365409013721624,0.18696645894786196,0.25324413976698484,0.23161126685355757,0.9882779511058711,0.6671325390209693,0.06355491426462198,0.9453029281185006,0.4319293692682671,0.18146085817228955,0.006157029477642587,0.17301547604963638,0.3749249647310566,0.7727203823446724,0.06355491426462198,0.6285122154429563,0.7308225022569036,0.6498958504486646,-0.23841624078431733
11,0.5770955165692009,0.6752036493971979,0.24443861662022617,0.5850196739741428,0.796880905492232,0.15761682943421465,0.0025796140812641213,0.39494089233507057,0.10287370200434678,0.4092916800513973,0.12838306731436502,0.4378448349036584,0.6967069657233637,0.6310547640831264,0.6370608253846521,0.6371477860839563,0.5166828922913532,0.871773974463461,0.4436261167504563,0.8507277794982966,0.19638848705541972,0.24148635936030105,0.05448532451426208,0.1670721816707218,0.43399345389625416,0.07739793125306135,0.3823547737232341,0.33127586448762014,0.6703892892583494,0.3150668384602996,0.06464581858053316,0.04944685018285312,0.06816826665076621,0.10968559112545712,0.28273595951202934,0.009207176607636026,0.9995380064943136,0.1897875438480376,0.11458190391836429,0.08209248014946287,0.08278185406059549,0.31168172598192884,0.15035898284744784,0.0017809027113418925,0.2561018024989783,0.44738625094042817,0.3333438528944573,0.3333438528944573,0.10968559112545712,0.13231132075471697,0.41308239896036875,0.45456705266477965,0.16375551600299101,0.16110546636862427,0.0891010959474551,0.39409257607295073,0.3960923623445825,0.2005821335781681,0.23151833369722763,0.245984069772616,0.9887139150063349,0.6703021348600636,0.20116774604879029,0.9441910454675474,0.4828493690344679,0.18904482350273374,0.005790919712988189,0.1735456042538046,0.3750680524915497,0.7745176272139442,0.20116774604879029,0.6286769910580219,0.7136143848237141,0.6409649601687594,-0.5672426967446373
12,0.3758284600389864,0.45441511893124803,0.24697590558924765,0.6056070826306914,0.688010980485767,0.14830102964406372,0.0021388318705152396,0.3367523540397571,0.12315865732914755,0.34627971410215225,0.14179967615082117,0.3715198200492318,0.5704784727644795,0.5894131486080251,0.374730383933279,0.3748801993482845,0.46703248075050885,0.8297822796600303,0.415906155603232,0.44843604831217093,0.19366987579188902,0.23718250235183444,0.07149648615130219,0.09930922616550605,0.3703507785896122,0.014831302042815575,0.4345261583833516,0.3775689135161675,0.669998861251647,0.30830246416492196,0.04621148091463553,0.046799687849065845,0.053686422992069646,0.09360763243375758,0.23590285908524383,0.010992166332901402,0.9995396973981314,0.2018664372228473,0.0897818140991255,0.07676786548341896,0.06655909640984269,0.2819933616079661,0.15052450807970041,0.001782165650947489,0.21596511516690287,0.26637547235141235,0.3162600856292276,0.3162600856292276,0.09360763243375758,0.1393867924528302,0.4106208971095945,0.45636528228928147,0.16254699792524566,0.1734200365779313,0.09589067025042117,0.4112399643175736,0.33801456092752713,0.19700728643706905,0.3079834905970585,0.23953188270368886,0.9890650923841102,0.6674195496678164,0.10878829569477533,0.9503233728149851,0.4557535055264281,0.18866688503111692,0.0055083117442013,0.17287720343894467,0.3751995417404395,0.7800670227719988,0.10878829569477533,0.6281501732464742,0.7114811471253849,0.6497580444265414,-0.6502597462099291
